Dhc	Andrasfai(2)
]QGSUHaKOpPaPaGpAKOPa@EGAKOAKS@EH?PaGAKO_GpP?Pap?PaW_GpEGAKOp?PabC@EHEGAKO	Circ(30;2.6.7.11)
]QGSUHaKOp@a@a?p?KS@aOEG_KO_KOOEGC@a?_KOA?pOC@aoC@aWA?pE?_KOoC@ab?OEHE?_KO	Circ(30;2.6.7.15)
]QGSQGacQPCaCaaPGcPCaCQIGcQGcPCQGPCaaGcQGaPCPCacPCaQGaPCaGcOcPCaaPCQHCaGcO	Circ(30;2.6.9.13)
]QGSQGaCOPOaOaGPACSOaPAGaCOaCSPAHCOaGaCOaGP@COa`COaOaGPCGaCO`COaaCPAHCGaCO	Circ(30;2.6.11.15)
]QGOSJAWP`BAbAP`CWObAAKGCWSCWQAKG_bACCWSOP`W_bAW_bAKOP`BCCWOW_bA`aAKHBCCWO	Circ(30;2.7.8.12)
]QGOSJAWP`BABA``GWPBACKIGWQGWPCKGPBAAGWSG``WPBAWPBAKG``BAGWOWPBA``CKHBAGWO	Circ(30;2.7.8.13)
]QGOSHAGO`PAPAG`AGSPAPCGaGOaGSPCHCPAGaGOaG`PCPAPCPAGaG`AGaGOPCPA`CPCHAGaGO	Circ(30;2.7.11.15)
]QGOSHAGO`@A`Ao`KGP`AECIKGUKGRECGp`AEKGOWo`Op`AOp`AGWo`AEKGOOp`A`BECHAEKGO	Circ(30;2.7.12.13)
]QGOSHAGO`@A`AO`CGS`AQCGcGScGQQCGc`ACcGOQO`Oc`AOc`AGQO`ACcGOOc`A`AQCHACcGO	Circ(30;2.7.12.15)
]QGOOIAoR@EAEAB@?oSEAOWG_oO_oOOWGCEA__oUAB@KCEAKCEAEAB@@__oOKCEA_oOWH@__oO	Circ(30;2.8.9.15)
]QGOOIAOP@AAaAp@KOPaAEGIKOUKOREGGpaAEKOSWp@GpaAGpaACWp@@EKOOGpaA_bEGH@EKOO	Circ(30;2.8.12.13)
]QGOOIAOP@AAaAP@COSaAQGGcOScOQQGGcaACcOSQP@GcaAGcaACQP@@CcOOGcaA_aQGH@CcOO	Circ(30;2.8.12.15)
]QGOOGA?O@OAoAW@E?SoAR?Ge?Se?UR?HcoAKe?OqW@@coA@coA?qW@?Ke?O@coA_ER?H?Ke?O	Circ(30;2.11.12.15)
]Crb`o[B_MO[O[GMAB_O[@@oAB_ABc@@p?O[GAB__GM@?O[@?O[__GMWGABf@?O[[C@@owGAB_	Circ(30;3.4.5.11)
]Crb`o[B_M?[_[OMCB__[A@oCBcCBaA@o__[CCB_OOM?__[?__[_OOMWCCBf?__[[AA@owCCB_	Circ(30;3.4.5.12)
]Crb`o[B_M?[?[?MOBa?[g@pOB`OB_g@oI?[@OB_D?M?I?[?I?[_D?MW@OBf?I?[[?g@ow@OB_	Circ(30;3.4.5.14)
]Crb`o[B_M?[?[?M?Bc?[O@o_B__B_O@oC?[?_B_A?M?C?[?C?[_A?MW?_Bf?C?[[?O@ow?_B_	Circ(30;3.4.5.15)
]Cp`_oK`aESKSKIEA`_SK@OoA`_A`c@Op?SKgA`a_IED?SKD?SKA_IEOgA`eD?SKWS@OoogA`_	Circ(30;3.4.9.11)
]Cp`_oK`aECKCKAEO`aCKgOpO``O`_gOoICK`O`aDAECICKCICKADAEO`O`eCICKWOgOoo`O`_	Circ(30;3.4.9.14)
]Cp`_oK`aECKCKAE?`cCKOOo_`__`_OOoCCK__`aAAECCCKCCCKAAAEO__`eCCCKWOOOoo__`_	Circ(30;3.4.9.15)
]Cp`_oK@_EOKoKWEE@_oKB?oE@cE@eB?p_oKKE@_oWE@_oK@_oK?oWEOKE@e@_oKWEB?ooKE@_	Circ(30;3.4.11.12)
]Cp`_oK@_E?K?K?EO@e?Kw?po@`o@_w?oM?K@o@_F?E?M?K?M?K?F?EO@o@e?M?KW?w?oo@o@_	Circ(30;3.4.14.15)
]CQadPSiaiDSDSAi?i_DS?TO?i_?i_?TO?DS_?ia?AiS?DSS?DSi?AiI_?idS?DSTO?TOi_?i_	Circ(30;3.5.7.9)
]CQadPSI_iPSPSGiAI_PS@DOAI_AIc@DP?PSGAI__GiP?PSP?PSg_GiIGAIdP?PSTC@DOiGAI_	Circ(30;3.5.7.11)
]CQadPSI_i@S@S_iGI`@SCDQGIaGI`CDOP@SAGI_G_iOP@SOP@SgG_iIAGIdOP@ST@CDOiAGI_	Circ(30;3.5.7.13)
]CQadPSI_i@S@S?i?Ic@SODO_I__I_ODOC@S?_I_A?iOC@SOC@SgA?iI?_IdOC@ST?ODOi?_I_	Circ(30;3.5.7.15)
]CQa`OSaaISSSSIIAa_SS@POAa_Aac@PP?SSgAaa_IID?SSD?SSa_IIGgAadD?SSSS@POggAa_	Circ(30;3.5.9.11)
]CQa`OSaaICSCSaIGa`CSCPQGaaGa`CPOPCSaGaaGaICPCSCPCSaGaIGaGadCPCSSPCPOgaGa_	Circ(30;3.5.9.13)
]CQa`OSaaICSCSAI?acCSOPO_a__a_OPOCCS__aaAAICCCSCCCSaAAIG__adCCCSSOOPOg__a_	Circ(30;3.5.9.15)
]CQa`OSA_IOSoSWIEA_oSB@OEAcEAeB@P_oSKEA_oWI@_oS@_oS_oWIGKEAd@_oSSEB@OgKEA_	Circ(30;3.5.11.12)
]CQa`OSA_IOSOSgIIA`OSD@QIAaIAdD@PPOSIIA_ggI@POS@POS_ggIGIIAd@POSSDD@OgIIA_	Circ(30;3.5.11.13)
]CQa`OSA_IOSOSGIAAcOSP@OaA_aAcP@PCOSGaA_aGI@COS@COS_aGIGGaAd@COSSCP@OgGaA_	Circ(30;3.5.11.15)
]CQa`OSA_I?S_SOISAa_Si@PSAdSAai@Oi_SDSA_TOI?i_S?i_S_TOIGDSAd?i_SSAi@OgDSA_	Circ(30;3.5.12.14)
]CQa`OSA_I?S?S_IGAd?SS@QgAagA`S@OT?SAgA_I_I?T?S?T?S_I_IGAgAd?T?SS@S@OgAgA_	Circ(30;3.5.13.15)
]CQa`OSA_I?S?S?IOAe?Sw@PoA`oA_w@OM?S@oA_F?I?M?S?M?S_F?IG@oAd?M?SS?w@Og@oA_	Circ(30;3.5.14.15)
]CO_cRCwbaFCFCBa?w_FC?[O?w_?w_?[O?FC_?we?Ba[?FC[?FCM?BaB_?wc[?FCPo?[Ob_?w_	Circ(30;3.7.8.9)
]CO_cRCW`aBCbCPaCW_bCAKOCWcCWaAKO_bCCCWcOPaW_bCW_bCKOPaBCCWcW_bCPaAKObCCW_	Circ(30;3.7.8.12)
]CO_cRCW`aBCBC`aGW`BCCKQGWaGW`CKOPBCAGWcG`aWPBCWPBCKG`aBAGWcWPBCP`CKObAGW_	Circ(30;3.7.8.13)
]CO_cPCgaaTCTCIaAg_TC@SOAg_Agc@SP?TCgAga_IaT?TCT?TCI_IaAgAgcT?TCPS@SOagAg_	Circ(30;3.7.9.11)
]CO_cPCgaaDCDCaaGg`DCCSQGgaGg`CSOPDCaGgaGaaSPDCSPDCIGaaAaGgcSPDCPPCSOaaGg_	Circ(30;3.7.9.13)
]CO_cPCgaaDCDCAa?gcDCOSO_g__g_OSOCDC__gaAAaSCDCSCDCIAAaA__gcSCDCPOOSOa__g_	Circ(30;3.7.9.15)
]CO_cPCG_aPCPCgaIG`PCDCQIGaIGdDCPPPCIIG_ggaPPPCPPPCGggaAIIGcPPPCPDDCOaIIG_	Circ(30;3.7.11.13)
]CO_cPCG_aPCPCGaAGcPCPCOaG_aGcPCPCPCGaG_aGaPCPCPCPCGaGaAGaGcPCPCPCPCOaGaG_	Circ(30;3.7.11.15)
]CO_cPCG_a@C`CoaKG``CECQKGeKGbECOp`CEKG_WoaOp`COp`CGWoaAEKGcOp`CPBECOaEKG_	Circ(30;3.7.12.13)
]CO_cPCG_a@C@C_aGGd@CSCQgGagG`SCOT@CAgG_I_aOT@COT@CGI_aAAgGcOT@CP@SCOaAgG_	Circ(30;3.7.13.15)
]CO__QCobAECECBA?ocECOWO_o__o_OWOCEC__oeABAKCECKCECEABA@__ocKCECOoOWO`__o_	Circ(30;3.8.9.15)
]CO__QCO`AACaCpAKO`aCEGQKOeKObEGOpaCEKOcWpAGpaCGpaCCWpA@EKOcGpaCObEGO`EKO_	Circ(30;3.8.12.13)
]CO__QCO`AACAC`AGOdACSGQgOagO`SGOTACAgOcI`AGTACGTACCI`A@AgOcGTACO`SGO`AgO_	Circ(30;3.8.13.15)
]CO__OC_aASCSCiAI_`SCDOQI_aI_dDOPPSCiI_agiADPSCDPSCAgiA?iI_cDPSCOTDOO_iI__	Circ(30;3.9.11.13)
]CO__OC_aASCSCIAA_cSCPOOa__a_cPOPCSCga_aaIADCSCDCSCAaIA?ga_cDCSCOSPOO_ga__	Circ(30;3.9.11.15)
]CO__OC_aACCCCaAG_dCCSOQg_ag_`SOOTCCag_aIaACTCCCTCCAIaA?ag_cCTCCOPSOO_ag__	Circ(30;3.9.13.15)
]CO__OC_aACCCCAAO_eCCwOPo_`o__wOOMCC`o_aFAACMCCCMCCAFAA?`o_cCMCCOOwOO_`o__	Circ(30;3.9.14.15)
]CO__OC?_AOCoCwAM?`oCF?QM?eM?fF?PpoCMM?_wwA@poC@poC?wwA?MM?c@poCOFF?O_MM?_	Circ(30;3.11.12.13)
]CO__OC?_AOCOCgAI?dOCT?Qi?ai?dT?PTOCIi?_igA@TOC@TOC?igA?Ii?c@TOCODT?O_Ii?_	Circ(30;3.11.13.15)
]?bFF`wN?{@w@w?{?N?@w?F_?N??N??F_?@w??N???{O?@wo?@ww??{]??NBo?@wN??F_]??N?	Circ(30;4.5.6.7)
]?bFB_wF?[?w?w?[OFA?wgB`OF@OF?gB_I?w@OF?D?[?I?w_I?woD?[[@OFB_I?wM?gB_[@OF?	Circ(30;4.5.6.14)
]?bFB_wF?[?w?w?[?FC?wOB__F?_F?OB_C?w?_F?A?[?C?w_C?woA?[[?_FB_C?wM?OB_[?_F?	Circ(30;4.5.6.15)
]?bBD`WJ?k@W@W?k?JC@WOD__J?_J?OD_C@W?_J?A?kOC@WOC@WgA?kY?_JBOC@WL?OD_Y?_J?	Circ(30;4.5.7.15)
]?bB@_WB?KOWoWWKEB?oWB@_EBCEBEB@`_oWKEB?oWK@_oW@_oW_oWKWKEBB@_oWKEB@_WKEB?	Circ(30;4.5.11.12)
]?bB@_WB?K?W_WOKCBC_WQ@_cBCcBAQ@_c_WCcB?QOK?c_W?c_W_QOKWCcBB?c_WKAQ@_WCcB?	Circ(30;4.5.12.15)
]?bB@_WB?K?W?W?KOBE?Ww@`oB@oB?w@_M?W@oB?F?K?M?W?M?W_F?KW@oBB?M?WK?w@_W@oB?	Circ(30;4.5.14.15)
]?`DE`glAsDgDgAs?l?Dg?U_?l??l??U_?Dg_?lA?AsS?Dgs?DgY?AsU_?lAs?DgJO?U_U_?l?	Circ(30;4.6.7.9)
]?`DE`gL?s@g@g?s?LC@gOE__L?_L?OE_C@g?_L?A?sOC@goC@gWA?sU?_LAoC@gJ?OE_U?_L?	Circ(30;4.6.7.15)
]?`DA_gdASSgSgISAd?Sg@Q_Ad?AdC@Q`?SggAdA_ISD?Sgd?SgQ_ISSgAdAd?SgIS@Q_SgAd?	Circ(30;4.6.9.11)
]?`DA_gdASCgCgASOdACggQ`Od@Od?gQ_ICg`OdADASCICgcICgQDASS`OdAcICgIOgQ_S`Od?	Circ(30;4.6.9.14)
]?`DA_gD?SOgOgGSQDAOghA`QD@QDChA`IOgHQD?dGS@IOg`IOgOdGSSHQDA`IOgIChA_SHQD?	Circ(30;4.6.11.14)
]?`DA_gD?S?g?g?SODE?gwA`oD@oD?wA_M?g@oD?F?S?M?g_M?gOF?SS@oDA_M?gI?wA_S@oD?	Circ(30;4.6.14.15)
]?`@C`GhAcDGDGAc?hCDGOS__h?_h?OS_CDG__hAAAcSCDGSCDGIAAcQ__hASCDGHOOS_Q__h?	Circ(30;4.7.9.15)
]?`@C`GH?c@G`GOcCHC`GQC_cHCcHAQC_c`GCcH?QOcOc`GOc`GGQOcQCcHAOc`GHAQC_QCcH?	Circ(30;4.7.12.15)
]?`@?_G`ACSGSGICQ`ASGhO`Q`@Q`ChO`ISGhQ`AdICDISGDISGAdICOhQ`ADISGGShO_OhQ`?	Circ(30;4.9.11.14)
]?`@?_G`ACCGCGACO`ECGwO`o`@o`?wO_MCG`o`AFACCMCGCMCGAFACO`o`ACMCGGOwO_O`o`?	Circ(30;4.9.14.15)
]?AEFBo]@wBoBo@w?]?Bo?N??]??]??N??Bo??]C?@wW?Bow?Bo{?@wN??]@w?BoF_?N?N??]?	Circ(30;5.6.7.8)
]?AEF@omAwDoDoAw?m?Do?V??m??m??V??Do_?mA?AwS?Dos?Doy?AwM_?m@s?DoFO?V?M_?m?	Circ(30;5.6.7.9)
]?AEF@oM?w@o@o?w?MC@oOF?_M?_M?OF?C@o?_M?A?wOC@ooC@owA?wM?_M@oC@oF?OF?M?_M?	Circ(30;5.6.7.15)
]?AEBAouBWEoEoBW?u?Eo?Z??u??u??Z??Eo_?uE?BWK?Eok?Eou?BWL_?u@k?EoEo?Z?L_?u?	Circ(30;5.6.8.9)
]?AEBAoU@WAoAo@W?UCAoOJ?_U?_U?OJ?CAo?_UCA@WGCAogCAosA@WL?_U@gCAoE_OJ?L?_U?	Circ(30;5.6.8.15)
]?AEB?oeAWCoCoaWGe@CoCRAGeAGe@CR?PCoaGeAGaWCPCocPCoqGaWKaGe@cPCoEPCR?KaGe?	Circ(30;5.6.9.13)
]?AEB?oE?W?o?o_WWEB?okBBWEBWE@kB?Z?oBWE?L_W?Z?o_Z?ooL_WKBWE@_Z?oE@kB?KBWE?	Circ(30;5.6.13.14)
]?AEB?oE?W?o?o_WGED?oSBAgEAgE@SB?T?oAgE?I_W?T?o_T?ooI_WKAgE@_T?oE@SB?KAgE?	Circ(30;5.6.13.15)
]?AEB?oE?W?o?o?WOEE?owB@oE@oE?wB?M?o@oE?F?W?M?o_M?ooF?WK@oE@_M?oE?wB?K@oE?	Circ(30;5.6.14.15)
]?AADBOyBgFOFOBg?y?FO?\??y??y??\??FO_?yE?Bg[?FO[?FOm?BgJ_?y@[?FODo?\?J_?y?	Circ(30;5.7.8.9)
]?AAD@OiAgTOTOIgAi?TO@T?Ai?AiC@T@?TOgAiA_IgT?TOT?TOi_IgIgAi@T?TODS@T?IgAi?	Circ(30;5.7.9.11)
]?AAD@OiAgDODOagGi@DOCTAGiAGi@CT?PDOaGiAGagSPDOSPDOiGagIaGi@SPDODPCT?IaGi?	Circ(30;5.7.9.13)
]?AAD@OiAgDODOAg?iCDOOT?_i?_i?OT?CDO__iAAAgSCDOSCDOiAAgI__i@SCDODOOT?I__i?	Circ(30;5.7.9.15)
]?AAD@OI?gPOPOggII@PODDAIIAIIDDD@PPOIII?gggPPPOPPPOggggIIII@PPPODDDD?IIII?	Circ(30;5.7.11.13)
]?AAD@OI?gPOPOGgAICPOPD?aI?aICPD@CPOGaI?aGgPCPOPCPOgaGgIGaI@PCPODCPD?IGaI?	Circ(30;5.7.11.15)
]?AAD@OI?g@O@O_gGID@OSDAgIAgI@SD?T@OAgI?I_gOT@OOT@OgI_gIAgI@OT@OD@SD?IAgI?	Circ(30;5.7.13.15)
]?AA@AOqBGEOEOBG?qCEOOX?_q?_q?OX?CEO__qEABGKCEOKCEOeABGH__q@KCEOCoOX?H__q?	Circ(30;5.8.9.15)
]?AA@AOQ@GAOaOPGCQCaOQH?cQCcQAQH?caOCcQCQPGGcaOGcaOcQPGHCcQ@GcaOCaQH?HCcQ?	Circ(30;5.8.12.15)
]?AA@?OaAGSOSOiGIa@SODPAIaAIaDDP@PSOiIaAgiGDPSODPSOagiGGiIa@DPSOCTDP?GiIa?	Circ(30;5.9.11.13)
]?AA@?OaAGSOSOIGAaCSOPP?aa?aaCPP@CSOgaaAaIGDCSODCSOaaIGGgaa@DCSOCSPP?Ggaa?	Circ(30;5.9.11.15)
]?AA@?OaAGCOCOaGGaDCOSPAgaAga@SP?TCOagaAIaGCTCOCTCOaIaGGaga@CTCOCPSP?Gaga?	Circ(30;5.9.13.15)
]?AA@?OA?GOOoOWGEACoOR@?eACeAER@@coOKeA?qWG@coO@coO_qWGGKeA@@coOCER@?GKeA?	Circ(30;5.11.12.15)
]?AA@?OA?GOOOOgGIADOOT@AiAAiADT@@TOOIiA?igG@TOO@TOO_igGGIiA@@TOOCDT@?GIiA?	Circ(30;5.11.13.15)
]?AA@?OA?G?O_OOGSAE_Oy@@sADsAAy@?m_ODsA?VOG?m_O?m_O_VOGGDsA@?m_OCAy@?GDsA?	Circ(30;5.12.14.15)
]?AA@?OA?G?O?O_GWAF?O{@BwABwA@{@?^?OBwA?N_G?^?O?^?O_N_GGBwA@?^?OC@{@?GBwA?	Circ(30;5.13.14.15)
]??CEB_{BoF_F_Bo?{?F_?]??{??{??]??F__?{E?Bo[?F_{?F_]?BoF_?{?{?F_Bo?]?F_?{?	Circ(30;6.7.8.9)
]??CE@_kAoT_T_IoAk?T_@U?Ak?AkC@U@?T_gAkA_IoT?T_t?T_Y_IoEgAk?t?T_BS@U?EgAk?	Circ(30;6.7.9.11)
]??CE@_K?oP_P_GoAKCP_PE?aK?aKCPE@CP_GaK?aGoPCP_pCP_WaGoEGaK?pCP_BCPE?EGaK?	Circ(30;6.7.11.15)
]??CAA_S@OA_A_`OGSDA_SIAgSAgS@SI?TA_AgSCI`OGTA_gTA_SI`ODAgS?gTA_A`SI?DAgS?	Circ(30;6.8.13.15)
]??CA?_cAOS_S_IOQcAS_hQ@Qc@QcChQ@IS_hQcAdIODIS_dIS_QdIOChQc?dIS_AShQ?ChQc?	Circ(30;6.9.11.14)
]??CA?_cAOC_C_aOWcBC_kQBWcBWc@kQ?ZC_bWcALaOCZC_cZC_QLaOCbWc?cZC_APkQ?CbWc?	Circ(30;6.9.13.14)
]??CA?_C?OO_O_GOQCEO_xA@qC@qCCxA@MO_HqC?fGO@MO_`MO_OfGOCHqC?`MO_ACxA?CHqC?	Circ(30;6.11.14.15)
]??CA?_C?O?_?__OWCF?_{ABwCBwC@{A?^?_BwC?N_O?^?__^?_ON_OCBwC?_^?_A@{A?CBwC?	Circ(30;6.13.14.15)
]???CB?W@_B?b?p_KW@b?EKAKWEKWBEK?pb?EKWCWp_Wpb?Wpb?KWp_BEKW?Wpb?@bEK?BEKW?	Circ(30;7.8.12.13)
]???C@?gA_T?T?i_Ig@T?DSAIgAIgDDS@PT?iIgAgi_TPT?TPT?Igi_AiIg?TPT?@TDS?AiIg?	Circ(30;7.9.11.13)
]???C@?gA_T?T?I_AgCT?PS?ag?agCPS@CT?gagAaI_TCT?TCT?IaI_Agag?TCT?@SPS?Agag?	Circ(30;7.9.11.15)
]???C@?gA_D?D?a_GgDD?SSAggAgg@SS?TD?aggAIa_STD?STD?IIa_Aagg?STD?@PSS?Aagg?	Circ(30;7.9.13.15)
]???C@?G?_P?P?g_IGDP?TCAiGAiGDTC@TP?IiG?ig_PTP?PTP?Gig_AIiG?PTP?@DTC?AIiG?	Circ(30;7.11.13.15)
]???C@?G?_@?`?o_KGD`?UCAkGEkGBUC?t`?EkG?Yo_Ot`?Ot`?GYo_AEkG?Ot`?@BUC?AEkG?	Circ(30;7.12.13.15)
]????A?O@?A?a?p?KODa?UGAkOEkOBUG?ta?EkOCYp?Gta?Gta?CYp?@EkO?Gta??bUG?@EkO?	Circ(30;8.12.13.15)
]??????_A?S?S?i?Y_BS?lOBY_BY_DlO@ZS?jY_Ali?DZS?DZS?Ali??jY_?DZS??TlO??jY_?	Circ(30;9.11.13.14)
]??????_A?S?S?i?I_DS?TOAi_Ai_DTO@TS?ii_Aii?DTS?DTS?Aii??ii_?DTS??TTO??ii_?	Circ(30;9.11.13.15)
]??????_A?S?S?I?Q_ES?xO@q_@q_CxO@MS?hq_AfI?DMS?DMS?AfI??hq_?DMS??SxO??hq_?	Circ(30;9.11.14.15)
]??????_A?C?C?a?W_FC?{OBw_Bw_@{O?^C?bw_ANa?C^C?C^C?ANa??bw_?C^C??P{O??bw_?	Circ(30;9.13.14.15)
]?????????O?o?w?]?Bo?n?B]?F]?Fn?@zo?N]??|w?@zo?@zo??|w??N]??@zo??Fn???N]??	Circ(30;11.12.13.14)
]?????????O?o?w?M?Do?V?Am?Em?FV?@to?Mm??yw?@to?@to??yw??Mm??@to??FV???Mm??	Circ(30;11.12.13.15)
]?????????O?o?W?U?Eo?z?@u?Du?Ez?@mo?Lu??vW?@mo?@mo??vW??Lu??@mo??Ez???Lu??	Circ(30;11.12.14.15)
]?????????O?O?g?Y?FO?|?By?By?D|?@^O?Jy??ng?@^O?@^O??ng??Jy??@^O??D|???Jy??	Circ(30;11.13.14.15)
]???????????_?o?[?F_?}?B{?F{?B}??~_?F{??^o??~_??~_??^o??F{???~_??B}???F{??	Circ(30;12.13.14.15)
]lUilTTiiidTDTAi_igDT?TS?ig?ig?TS?DT_?ii?Ais?DTS?DTi?Aii_?ilS?DTTO?TUi_?ig	Circ(30;1.3.5.7.9)
]lUilTTIgipTPTGiaIgPT@DSAIgAIk@DT?PTGAIg_Gip?PTP?PTg_GiiGAIlP?PTTC@DUiGAIg	Circ(30;1.3.5.7.11)
]lUilTTIgi`T@T_igIh@TCDUGIiGIhCDSP@TAGIgG_ioP@TOP@TgG_iiAGIlOP@TT@CDUiAGIg	Circ(30;1.3.5.7.13)
]lUilTTIgi`T@T?i_Ik@TODS_Ig_IgODSC@T?_IgA?ioC@TOC@TgA?ii?_IlOC@TT?ODUi?_Ig	Circ(30;1.3.5.7.15)
]lUihSTaiIsTSTIIaagST@PSAagAak@PT?STgAai_IId?STD?STa_IIggAalD?STSS@PUggAag	Circ(30;1.3.5.9.11)
]lUihSTaiIcTCTaIgahCTCPUGaiGahCPSPCTaGaiGaIcPCTCPCTaGaIgaGalCPCTSPCPUgaGag	Circ(30;1.3.5.9.13)
]lUihSTaiIcTCTAI_akCTOPS_ag_agOPSCCT__aiAAIcCCTCCCTaAAIg__alCCCTSOOPUg__ag	Circ(30;1.3.5.9.15)
]lUihSTAgIoTOTgIiAhOTD@UIAiIAlD@TPOTIIAgggI`POT@POT_ggIgIIAl@POTSDD@UgIIAg	Circ(30;1.3.5.11.13)
]lUihSTAgIoTOTGIaAkOTP@SaAgaAkP@TCOTGaAgaGI`COT@COT_aGIgGaAl@COTSCP@UgGaAg	Circ(30;1.3.5.11.15)
]lUihSTAgI_T_TOIsAi_Ti@TSAlSAii@Si_TDSAgTOI_i_T?i_T_TOIgDSAl?i_TSAi@UgDSAg	Circ(30;1.3.5.12.14)
]lUihSTAgI_T?T_IgAl?TS@UgAigAhS@ST?TAgAgI_I_T?T?T?T_I_IgAgAl?T?TS@S@UgAgAg	Circ(30;1.3.5.13.15)
]lSgkTDgiatDTDIaaggTD@SSAggAgk@ST?TDgAgi_Iat?TDT?TDI_IaagAgkT?TDPS@SUagAgg	Circ(30;1.3.7.9.11)
]lSgkTDgiadDDDaagghDDCSUGgiGghCSSPDDaGgiGaasPDDSPDDIGaaaaGgkSPDDPPCSUaaGgg	Circ(30;1.3.7.9.13)
]lSgkTDgiadDDDAa_gkDDOSS_gg_ggOSSCDD__giAAasCDDSCDDIAAaa__gkSCDDPOOSUa__gg	Circ(30;1.3.7.9.15)
]lSgkTDGgapDPDgaiGhPDDCUIGiIGlDCTPPDIIGgggapPPDPPPDGggaaIIGkPPPDPDDCUaIIGg	Circ(30;1.3.7.11.13)
]lSgkTDGgapDPDGaaGkPDPCSaGgaGkPCTCPDGaGgaGapCPDPCPDGaGaaGaGkPCPDPCPCUaGaGg	Circ(30;1.3.7.11.15)
]lSgkTDGga`D@D_agGl@DSCUgGigGhSCST@DAgGgI_aoT@DOT@DGI_aaAgGkOT@DP@SCUaAgGg	Circ(30;1.3.7.13.15)
]lSggUDOhAaDAD`AgOlADSGUgOigOhSGSTADAgOkI`AgTADGTADCI`A`AgOkGTADO`SGU`AgOg	Circ(30;1.3.8.13.15)
]lSggSD_iAsDSDiAi_hSDDOUI_iI_lDOTPSDiI_igiAdPSDDPSDAgiA_iI_kDPSDOTDOU_iI_g	Circ(30;1.3.9.11.13)
]lSggSD_iAsDSDIAa_kSDPOSa_ga_kPOTCSDga_iaIAdCSDDCSDAaIA_ga_kDCSDOSPOU_ga_g	Circ(30;1.3.9.11.15)
]lSggSD_iAcDCDaAg_lCDSOUg_ig_hSOSTCDag_iIaAcTCDCTCDAIaA_ag_kCTCDOPSOU_ag_g	Circ(30;1.3.9.13.15)
]lSggSD?gAoDODgAi?lODT?Ui?ii?lT?TTODIi?gigA`TOD@TOD?igA_Ii?k@TODODT?U_Ii?g	Circ(30;1.3.11.13.15)
]hdLIchdISshShISadGSh@QcAdGAdK@Qd?ShgAdI_ISd?Shd?ShQ_ISsgAdId?ShIS@QeSgAdG	Circ(30;1.4.6.9.11)
]hdLIchdISchChASodIChgQdOdHOdGgQcICh`OdIDAScIChcIChQDASs`OdIcIChIOgQeS`OdG	Circ(30;1.4.6.9.14)
]hdLIchDGSohOhGSqDIOhhAdQDHQDKhAdIOhHQDGdGS`IOh`IOhOdGSsHQDI`IOhIChAeSHQDG	Circ(30;1.4.6.11.14)
]hdHKdHhIcdHDHAc_hKDHOSc_hG_hGOScCDH__hIAAcsCDHSCDHIAAcq__hISCDHHOOSeQ__hG	Circ(30;1.4.7.9.15)
]hdHKdHHGc`H`HOccHK`HQCccHKcHIQCcc`HCcHGQOcoc`HOc`HGQOcqCcHIOc`HHAQCeQCcHG	Circ(30;1.4.7.12.15)
]hdHGcH`ICsHSHICq`ISHhOdQ`HQ`KhOdISHhQ`IdICdISHDISHAdICohQ`IDISHGShOeOhQ`G	Circ(30;1.4.9.11.14)
]hEILDPiIgtPTPIgaiGTP@TCAiGAiK@TD?TPgAiI_Igt?TPT?TPi_IgigAiHT?TPDS@TEIgAiG	Circ(30;1.5.7.9.11)
]hEILDPiIgdPDPaggiHDPCTEGiIGiHCTCPDPaGiIGagsPDPSPDPiGagiaGiHSPDPDPCTEIaGiG	Circ(30;1.5.7.9.13)
]hEILDPiIgdPDPAg_iKDPOTC_iG_iGOTCCDP__iIAAgsCDPSCDPiAAgi__iHSCDPDOOTEI__iG	Circ(30;1.5.7.9.15)
]hEILDPIGgpPPPggiIHPPDDEIIIIILDDDPPPIIIGgggpPPPPPPPggggiIIIHPPPPDDDDEIIIIG	Circ(30;1.5.7.11.13)
]hEILDPIGgpPPPGgaIKPPPDCaIGaIKPDDCPPGaIGaGgpCPPPCPPgaGgiGaIHPCPPDCPDEIGaIG	Circ(30;1.5.7.11.15)
]hEILDPIGg`P@P_ggIL@PSDEgIIgIHSDCT@PAgIGI_goT@POT@PgI_giAgIHOT@PD@SDEIAgIG	Circ(30;1.5.7.13.15)
]hEIHEPQHGaPaPPGcQKaPQHCcQKcQIQHCcaPCcQKQPGgcaPGcaPcQPGhCcQHGcaPCaQHEHCcQG	Circ(30;1.5.8.12.15)
]hEIHCPaIGsPSPiGiaHSPDPEIaIIaLDPDPSPiIaIgiGdPSPDPSPagiGgiIaHDPSPCTDPEGiIaG	Circ(30;1.5.9.11.13)
]hEIHCPaIGsPSPIGaaKSPPPCaaGaaKPPDCSPgaaIaIGdCSPDCSPaaIGggaaHDCSPCSPPEGgaaG	Circ(30;1.5.9.11.15)
]hEIHCPaIGcPCPaGgaLCPSPEgaIgaHSPCTCPagaIIaGcTCPCTCPaIaGgagaHCTCPCPSPEGagaG	Circ(30;1.5.9.13.15)
]hEIHCPAGGoPOPgGiALOPT@EiAIiALT@DTOPIiAGigG`TOP@TOP_igGgIiAH@TOPCDT@EGIiAG	Circ(30;1.5.11.13.15)
]hCKIE`SHOa`A``OgSLA`SIEgSIgSHSICTA`AgSKI`OgTA`gTA`SI`OdAgSGgTA`A`SIEDAgSG	Circ(30;1.6.8.13.15)
